Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2024-01-30,Indiana Pacers,124,Boston Celtics,129,/boxscores/202401300BOS.html,,Boston Celtics
2024-01-30,Utah Jazz,103,New York Knicks,118,/boxscores/202401300NYK.html,,New York Knicks
2024-01-30,Toronto Raptors,118,Chicago Bulls,107,/boxscores/202401300CHI.html,,Toronto Raptors
2024-01-30,Philadelphia 76ers,107,Golden State Warriors,119,/boxscores/202401300GSW.html,,Golden State Warriors
2024-01-31,Chicago Bulls,117,Charlotte Hornets,110,/boxscores/202401310CHO.html,,Chicago Bulls
2024-01-31,Detroit Pistons,121,Cleveland Cavaliers,128,/boxscores/202401310CLE.html,,Cleveland Cavaliers
2024-01-31,Los Angeles Clippers,125,Washington Wizards,109,/boxscores/202401310WAS.html,,Los Angeles Clippers
2024-01-31,Sacramento Kings,106,Miami Heat,115,/boxscores/202401310MIA.html,,Miami Heat
2024-01-31,New Orleans Pelicans,110,Houston Rockets,99,/boxscores/202401310HOU.html,,New Orleans Pelicans
2024-01-31,Dallas Mavericks,87,Minnesota Timberwolves,121,/boxscores/202401310MIN.html,,Minnesota Timberwolves
2024-01-31,Denver Nuggets,100,Oklahoma City Thunder,105,/boxscores/202401310OKC.html,,Oklahoma City Thunder
2024-01-31,Orlando Magic,108,San Antonio Spurs,98,/boxscores/202401310SAS.html,,Orlando Magic
2024-01-31,Phoenix Suns,136,Brooklyn Nets,120,/boxscores/202401310BRK.html,,Phoenix Suns
2024-01-31,Milwaukee Bucks,116,Portland Trail Blazers,119,/boxscores/202401310POR.html,,Portland Trail Blazers
2024-02-01,Los Angeles Lakers,114,Boston Celtics,105,/boxscores/202402010BOS.html,,Los Angeles Lakers
2024-02-01,Indiana Pacers,105,New York Knicks,109,/boxscores/202402010NYK.html,,New York Knicks
2024-02-01,Cleveland Cavaliers,108,Memphis Grizzlies,101,/boxscores/202402010MEM.html,,Cleveland Cavaliers
2024-02-01,Philadelphia 76ers,127,Utah Jazz,124,/boxscores/202402010UTA.html,,Philadelphia 76ers
2024-02-02,Los Angeles Clippers,136,Detroit Pistons,125,/boxscores/202402020DET.html,,Los Angeles Clippers
2024-02-02,Miami Heat,110,Washington Wizards,102,/boxscores/202402020WAS.html,,Miami Heat
2024-02-02,Phoenix Suns,120,Atlanta Hawks,129,/boxscores/202402020ATL.html,,Atlanta Hawks
2024-02-02,Sacramento Kings,133,Indiana Pacers,122,/boxscores/202402020IND.html,,Sacramento Kings
2024-02-02,Toronto Raptors,106,Houston Rockets,135,/boxscores/202402020HOU.html,,Houston Rockets
2024-02-02,Golden State Warriors,121,Memphis Grizzlies,101,/boxscores/202402020MEM.html,,Golden State Warriors
2024-02-02,Orlando Magic,108,Minnesota Timberwolves,106,/boxscores/202402020MIN.html,,Orlando Magic
2024-02-02,Charlotte Hornets,106,Oklahoma City Thunder,126,/boxscores/202402020OKC.html,,Oklahoma City Thunder
2024-02-02,New Orleans Pelicans,114,San Antonio Spurs,113,/boxscores/202402020SAS.html,,New Orleans Pelicans
2024-02-02,Portland Trail Blazers,108,Denver Nuggets,120,/boxscores/202402020DEN.html,,Denver Nuggets
2024-02-03,Brooklyn Nets,136,Philadelphia 76ers,121,/boxscores/202402030PHI.html,,Brooklyn Nets
2024-02-03,Golden State Warriors,134,Atlanta Hawks,141,/boxscores/202402030ATL.html,OT,Atlanta Hawks
2024-02-03,Sacramento Kings,123,Chicago Bulls,115,/boxscores/202402030CHI.html,,Sacramento Kings
2024-02-03,Milwaukee Bucks,129,Dallas Mavericks,117,/boxscores/202402030DAL.html,,Milwaukee Bucks
2024-02-03,Los Angeles Lakers,113,New York Knicks,105,/boxscores/202402030NYK.html,,Los Angeles Lakers
2024-02-03,Cleveland Cavaliers,117,San Antonio Spurs,101,/boxscores/202402030SAS.html,,Cleveland Cavaliers
2024-02-04,Orlando Magic,111,Detroit Pistons,99,/boxscores/202402040DET.html,,Orlando Magic
2024-02-04,Phoenix Suns,140,Washington Wizards,112,/boxscores/202402040WAS.html,,Phoenix Suns
2024-02-04,Memphis Grizzlies,91,Boston Celtics,131,/boxscores/202402040BOS.html,,Boston Celtics
2024-02-04,Indiana Pacers,115,Charlotte Hornets,99,/boxscores/202402040CHO.html,,Indiana Pacers
2024-02-04,Los Angeles Clippers,103,Miami Heat,95,/boxscores/202402040MIA.html,,Los Angeles Clippers
2024-02-04,Houston Rockets,90,Minnesota Timberwolves,111,/boxscores/202402040MIN.html,,Minnesota Timberwolves
2024-02-04,Toronto Raptors,127,Oklahoma City Thunder,135,/boxscores/202402040OKC.html,2OT,Oklahoma City Thunder
2024-02-04,Milwaukee Bucks,108,Utah Jazz,123,/boxscores/202402040UTA.html,,Utah Jazz
2024-02-04,Portland Trail Blazers,103,Denver Nuggets,112,/boxscores/202402040DEN.html,,Denver Nuggets
2024-02-05,Los Angeles Lakers,124,Charlotte Hornets,118,/boxscores/202402050CHO.html,,Los Angeles Lakers
2024-02-05,Sacramento Kings,110,Cleveland Cavaliers,136,/boxscores/202402050CLE.html,,Cleveland Cavaliers
2024-02-05,Dallas Mavericks,118,Philadelphia 76ers,102,/boxscores/202402050PHI.html,,Dallas Mavericks
2024-02-05,Los Angeles Clippers,149,Atlanta Hawks,144,/boxscores/202402050ATL.html,,Los Angeles Clippers
2024-02-05,Golden State Warriors,109,Brooklyn Nets,98,/boxscores/202402050BRK.html,,Golden State Warriors
2024-02-05,Toronto Raptors,100,New Orleans Pelicans,138,/boxscores/202402050NOP.html,,New Orleans Pelicans
2024-02-06,Houston Rockets,129,Indiana Pacers,132,/boxscores/202402060IND.html,,Indiana Pacers
2024-02-06,Dallas Mavericks,119,Brooklyn Nets,107,/boxscores/202402060BRK.html,,Dallas Mavericks
2024-02-06,Orlando Magic,95,Miami Heat,121,/boxscores/202402060MIA.html,,Miami Heat
2024-02-06,Memphis Grizzlies,113,New York Knicks,123,/boxscores/202402060NYK.html,,New York Knicks
2024-02-06,Minnesota Timberwolves,123,Chicago Bulls,129,/boxscores/202402060CHI.html,OT,Chicago Bulls
2024-02-06,Oklahoma City Thunder,117,Utah Jazz,124,/boxscores/202402060UTA.html,,Utah Jazz
2024-02-06,Milwaukee Bucks,106,Phoenix Suns,114,/boxscores/202402060PHO.html,,Phoenix Suns
2024-02-07,Toronto Raptors,123,Charlotte Hornets,117,/boxscores/202402070CHO.html,,Toronto Raptors
2024-02-07,Cleveland Cavaliers,114,Washington Wizards,106,/boxscores/202402070WAS.html,,Cleveland Cavaliers
2024-02-07,Atlanta Hawks,117,Boston Celtics,125,/boxscores/202402070BOS.html,,Boston Celtics
2024-02-07,San Antonio Spurs,104,Miami Heat,116,/boxscores/202402070MIA.html,,Miami Heat
2024-02-07,Golden State Warriors,127,Philadelphia 76ers,104,/boxscores/202402070PHI.html,,Golden State Warriors
2024-02-07,New Orleans Pelicans,117,Los Angeles Clippers,106,/boxscores/202402070LAC.html,,New Orleans Pelicans
2024-02-07,Detroit Pistons,133,Sacramento Kings,120,/boxscores/202402070SAC.html,,Detroit Pistons
2024-02-08,Golden State Warriors,131,Indiana Pacers,109,/boxscores/202402080IND.html,,Golden State Warriors
2024-02-08,San Antonio Spurs,111,Orlando Magic,127,/boxscores/202402080ORL.html,,Orlando Magic
2024-02-08,Cleveland Cavaliers,118,Brooklyn Nets,95,/boxscores/202402080BRK.html,,Cleveland Cavaliers
2024-02-08,Dallas Mavericks,122,New York Knicks,108,/boxscores/202402080NYK.html,,Dallas Mavericks
2024-02-08,Chicago Bulls,118,Memphis Grizzlies,110,/boxscores/202402080MEM.html,,Chicago Bulls
2024-02-08,Minnesota Timberwolves,129,Milwaukee Bucks,105,/boxscores/202402080MIL.html,,Minnesota Timberwolves
2024-02-08,Utah Jazz,115,Phoenix Suns,129,/boxscores/202402080PHO.html,,Phoenix Suns
2024-02-08,Denver Nuggets,114,Los Angeles Lakers,106,/boxscores/202402080LAL.html,,Denver Nuggets
2024-02-08,Detroit Pistons,128,Portland Trail Blazers,122,/boxscores/202402080POR.html,OT,Detroit Pistons
2024-02-09,Atlanta Hawks,127,Philadelphia 76ers,121,/boxscores/202402090PHI.html,,Atlanta Hawks
2024-02-09,Washington Wizards,129,Boston Celtics,133,/boxscores/202402090BOS.html,,Boston Celtics
2024-02-09,Houston Rockets,104,Toronto Raptors,107,/boxscores/202402090TOR.html,,Toronto Raptors
2024-02-09,Charlotte Hornets,84,Milwaukee Bucks,120,/boxscores/202402090MIL.html,,Milwaukee Bucks
2024-02-09,Denver Nuggets,106,Sacramento Kings,135,/boxscores/202402090SAC.html,,Sacramento Kings
2024-02-09,New Orleans Pelicans,122,Los Angeles Lakers,139,/boxscores/202402090LAL.html,,Los Angeles Lakers
2024-02-10,Oklahoma City Thunder,111,Dallas Mavericks,146,/boxscores/202402100DAL.html,,Dallas Mavericks
2024-02-10,Detroit Pistons,106,Los Angeles Clippers,112,/boxscores/202402100LAC.html,,Los Angeles Clippers
2024-02-10,San Antonio Spurs,103,Brooklyn Nets,123,/boxscores/202402100BRK.html,,Brooklyn Nets
2024-02-10,Memphis Grizzlies,106,Charlotte Hornets,115,/boxscores/202402100CHO.html,,Charlotte Hornets
2024-02-10,Chicago Bulls,108,Orlando Magic,114,/boxscores/202402100ORL.html,OT,Orlando Magic
2024-02-10,Philadelphia 76ers,119,Washington Wizards,113,/boxscores/202402100WAS.html,,Philadelphia 76ers
2024-02-10,Houston Rockets,113,Atlanta Hawks,122,/boxscores/202402100ATL.html,,Atlanta Hawks
2024-02-10,Indiana Pacers,125,New York Knicks,111,/boxscores/202402100NYK.html,,Indiana Pacers
2024-02-10,Cleveland Cavaliers,119,Toronto Raptors,95,/boxscores/202402100TOR.html,,Cleveland Cavaliers
2024-02-10,Phoenix Suns,112,Golden State Warriors,113,/boxscores/202402100GSW.html,,Golden State Warriors
2024-02-10,New Orleans Pelicans,93,Portland Trail Blazers,84,/boxscores/202402100POR.html,,New Orleans Pelicans
2024-02-11,Boston Celtics,110,Miami Heat,106,/boxscores/202402110MIA.html,,Boston Celtics
2024-02-11,Sacramento Kings,113,Oklahoma City Thunder,127,/boxscores/202402110OKC.html,,Oklahoma City Thunder
2024-02-12,Indiana Pacers,102,Charlotte Hornets,111,/boxscores/202402120CHO.html,,Charlotte Hornets
2024-02-12,Philadelphia 76ers,123,Cleveland Cavaliers,121,/boxscores/202402120CLE.html,,Philadelphia 76ers
2024-02-12,Chicago Bulls,136,Atlanta Hawks,126,/boxscores/202402120ATL.html,,Chicago Bulls
2024-02-12,San Antonio Spurs,122,Toronto Raptors,99,/boxscores/202402120TOR.html,,San Antonio Spurs
2024-02-12,New York Knicks,103,Houston Rockets,105,/boxscores/202402120HOU.html,,Houston Rockets
2024-02-12,New Orleans Pelicans,96,Memphis Grizzlies,87,/boxscores/202402120MEM.html,,New Orleans Pelicans
2024-02-12,Denver Nuggets,95,Milwaukee Bucks,112,/boxscores/202402120MIL.html,,Milwaukee Bucks
2024-02-12,Washington Wizards,104,Dallas Mavericks,112,/boxscores/202402120DAL.html,,Dallas Mavericks
2024-02-12,Golden State Warriors,129,Utah Jazz,107,/boxscores/202402120UTA.html,,Golden State Warriors
2024-02-12,Minnesota Timberwolves,121,Los Angeles Clippers,100,/boxscores/202402120LAC.html,,Minnesota Timberwolves
2024-02-13,Boston Celtics,118,Brooklyn Nets,110,/boxscores/202402130BRK.html,,Boston Celtics
2024-02-13,Oklahoma City Thunder,127,Orlando Magic,113,/boxscores/202402130ORL.html,,Oklahoma City Thunder
2024-02-13,Miami Heat,123,Milwaukee Bucks,97,/boxscores/202402130MIL.html,,Miami Heat
2024-02-13,Sacramento Kings,125,Phoenix Suns,130,/boxscores/202402130PHO.html,,Phoenix Suns
2024-02-13,Minnesota Timberwolves,121,Portland Trail Blazers,109,/boxscores/202402130POR.html,,Minnesota Timberwolves
2024-02-13,Detroit Pistons,111,Los Angeles Lakers,125,/boxscores/202402130LAL.html,,Los Angeles Lakers
2024-02-14,Atlanta Hawks,99,Charlotte Hornets,122,/boxscores/202402140CHO.html,,Charlotte Hornets
2024-02-14,New York Knicks,100,Orlando Magic,118,/boxscores/202402140ORL.html,,Orlando Magic
2024-02-14,Miami Heat,109,Philadelphia 76ers,104,/boxscores/202402140PHI.html,,Miami Heat
2024-02-14,Brooklyn Nets,86,Boston Celtics,136,/boxscores/202402140BOS.html,,Boston Celtics
2024-02-14,Chicago Bulls,105,Cleveland Cavaliers,108,/boxscores/202402140CLE.html,,Cleveland Cavaliers
2024-02-14,Indiana Pacers,127,Toronto Raptors,125,/boxscores/202402140TOR.html,,Indiana Pacers
2024-02-14,Houston Rockets,113,Memphis Grizzlies,121,/boxscores/202402140MEM.html,,Memphis Grizzlies
2024-02-14,Washington Wizards,126,New Orleans Pelicans,133,/boxscores/202402140NOP.html,,New Orleans Pelicans
2024-02-14,San Antonio Spurs,93,Dallas Mavericks,116,/boxscores/202402140DAL.html,,Dallas Mavericks
2024-02-14,Sacramento Kings,102,Denver Nuggets,98,/boxscores/202402140DEN.html,,Sacramento Kings
2024-02-14,Detroit Pistons,100,Phoenix Suns,116,/boxscores/202402140PHO.html,,Phoenix Suns
2024-02-14,Los Angeles Lakers,138,Utah Jazz,122,/boxscores/202402140UTA.html,,Los Angeles Lakers
2024-02-14,Los Angeles Clippers,130,Golden State Warriors,125,/boxscores/202402140GSW.html,,Los Angeles Clippers
2024-02-15,Milwaukee Bucks,110,Memphis Grizzlies,113,/boxscores/202402150MEM.html,,Memphis Grizzlies
2024-02-15,Golden State Warriors,140,Utah Jazz,137,/boxscores/202402150UTA.html,,Golden State Warriors
2024-02-15,Minnesota Timberwolves,128,Portland Trail Blazers,91,/boxscores/202402150POR.html,,Minnesota Timberwolves
2024-02-22,Orlando Magic,116,Cleveland Cavaliers,109,/boxscores/202402220CLE.html,,Orlando Magic
2024-02-22,Detroit Pistons,115,Indiana Pacers,129,/boxscores/202402220IND.html,,Indiana Pacers
2024-02-22,New York Knicks,110,Philadelphia 76ers,96,/boxscores/202402220PHI.html,,New York Knicks
2024-02-22,Brooklyn Nets,93,Toronto Raptors,121,/boxscores/202402220TOR.html,,Toronto Raptors
2024-02-22,Phoenix Suns,113,Dallas Mavericks,123,/boxscores/202402220DAL.html,,Dallas Mavericks
2024-02-22,Boston Celtics,129,Chicago Bulls,112,/boxscores/202402220CHI.html,,Boston Celtics
2024-02-22,Houston Rockets,105,New Orleans Pelicans,127,/boxscores/202402220NOP.html,,New Orleans Pelicans
2024-02-22,Los Angeles Clippers,107,Oklahoma City Thunder,129,/boxscores/202402220OKC.html,,Oklahoma City Thunder
2024-02-22,Washington Wizards,110,Denver Nuggets,130,/boxscores/202402220DEN.html,,Denver Nuggets
2024-02-22,Charlotte Hornets,115,Utah Jazz,107,/boxscores/202402220UTA.html,,Charlotte Hornets
2024-02-22,Los Angeles Lakers,110,Golden State Warriors,128,/boxscores/202402220GSW.html,,Golden State Warriors
2024-02-22,San Antonio Spurs,122,Sacramento Kings,127,/boxscores/202402220SAC.html,,Sacramento Kings
2024-02-23,Toronto Raptors,123,Atlanta Hawks,121,/boxscores/202402230ATL.html,,Toronto Raptors
2024-02-23,Cleveland Cavaliers,97,Philadelphia 76ers,104,/boxscores/202402230PHI.html,,Philadelphia 76ers
2024-02-23,Phoenix Suns,110,Houston Rockets,114,/boxscores/202402230HOU.html,,Houston Rockets
2024-02-23,Los Angeles Clippers,101,Memphis Grizzlies,95,/boxscores/202402230MEM.html,,Los Angeles Clippers
2024-02-23,Miami Heat,106,New Orleans Pelicans,95,/boxscores/202402230NOP.html,,Miami Heat
2024-02-23,Washington Wizards,106,Oklahoma City Thunder,147,/boxscores/202402230OKC.html,,Oklahoma City Thunder
2024-02-23,Charlotte Hornets,84,Golden State Warriors,97,/boxscores/202402230GSW.html,,Golden State Warriors
2024-02-23,Milwaukee Bucks,112,Minnesota Timberwolves,107,/boxscores/202402230MIN.html,,Milwaukee Bucks
2024-02-23,Denver Nuggets,127,Portland Trail Blazers,112,/boxscores/202402230POR.html,,Denver Nuggets
2024-02-23,San Antonio Spurs,118,Los Angeles Lakers,123,/boxscores/202402230LAL.html,,Los Angeles Lakers
2024-02-24,Orlando Magic,112,Detroit Pistons,109,/boxscores/202402240DET.html,,Orlando Magic
2024-02-24,Boston Celtics,116,New York Knicks,102,/boxscores/202402240NYK.html,,Boston Celtics
2024-02-24,Brooklyn Nets,86,Minnesota Timberwolves,101,/boxscores/202402240MIN.html,,Minnesota Timberwolves
2024-02-25,Milwaukee Bucks,119,Philadelphia 76ers,98,/boxscores/202402250PHI.html,,Milwaukee Bucks
2024-02-25,Los Angeles Lakers,113,Phoenix Suns,123,/boxscores/202402250PHO.html,,Phoenix Suns
2024-02-25,Dallas Mavericks,111,Indiana Pacers,133,/boxscores/202402250IND.html,,Indiana Pacers
2024-02-25,Cleveland Cavaliers,114,Washington Wizards,105,/boxscores/202402250WAS.html,,Cleveland Cavaliers
2024-02-25,Orlando Magic,92,Atlanta Hawks,109,/boxscores/202402250ATL.html,,Atlanta Hawks
2024-02-25,Denver Nuggets,119,Golden State Warriors,103,/boxscores/202402250GSW.html,,Denver Nuggets
2024-02-25,Oklahoma City Thunder,123,Houston Rockets,110,/boxscores/202402250HOU.html,,Oklahoma City Thunder
2024-02-25,Chicago Bulls,114,New Orleans Pelicans,106,/boxscores/202402250NOP.html,,Chicago Bulls
2024-02-25,San Antonio Spurs,109,Utah Jazz,128,/boxscores/202402250UTA.html,,Utah Jazz
2024-02-25,Charlotte Hornets,93,Portland Trail Blazers,80,/boxscores/202402250POR.html,,Charlotte Hornets
2024-02-25,Sacramento Kings,123,Los Angeles Clippers,107,/boxscores/202402250LAC.html,,Sacramento Kings
2024-02-26,Toronto Raptors,130,Indiana Pacers,122,/boxscores/202402260IND.html,,Toronto Raptors
2024-02-26,Detroit Pistons,111,New York Knicks,113,/boxscores/202402260NYK.html,,New York Knicks
2024-02-26,Brooklyn Nets,111,Memphis Grizzlies,86,/boxscores/202402260MEM.html,,Brooklyn Nets
2024-02-26,Miami Heat,121,Sacramento Kings,110,/boxscores/202402260SAC.html,,Miami Heat
2024-02-27,Dallas Mavericks,119,Cleveland Cavaliers,121,/boxscores/202402270CLE.html,,Cleveland Cavaliers
2024-02-27,Brooklyn Nets,81,Orlando Magic,108,/boxscores/202402270ORL.html,,Orlando Magic
2024-02-27,Golden State Warriors,123,Washington Wizards,112,/boxscores/202402270WAS.html,,Golden State Warriors
2024-02-27,Utah Jazz,97,Atlanta Hawks,124,/boxscores/202402270ATL.html,,Atlanta Hawks
2024-02-27,Philadelphia 76ers,99,Boston Celtics,117,/boxscores/202402270BOS.html,,Boston Celtics
2024-02-27,New Orleans Pelicans,115,New York Knicks,92,/boxscores/202402270NYK.html,,New Orleans Pelicans
2024-02-27,Detroit Pistons,105,Chicago Bulls,95,/boxscores/202402270CHI.html,,Detroit Pistons
2024-02-27,Charlotte Hornets,85,Milwaukee Bucks,123,/boxscores/202402270MIL.html,,Milwaukee Bucks
2024-02-27,San Antonio Spurs,105,Minnesota Timberwolves,114,/boxscores/202402270MIN.html,,Minnesota Timberwolves
2024-02-27,Houston Rockets,95,Oklahoma City Thunder,112,/boxscores/202402270OKC.html,,Oklahoma City Thunder
2024-02-27,Miami Heat,106,Portland Trail Blazers,96,/boxscores/202402270POR.html,,Miami Heat
2024-02-28,New Orleans Pelicans,114,Indiana Pacers,123,/boxscores/202402280IND.html,,Indiana Pacers
2024-02-28,Dallas Mavericks,136,Toronto Raptors,125,/boxscores/202402280TOR.html,,Dallas Mavericks
2024-02-28,Cleveland Cavaliers,123,Chicago Bulls,132,/boxscores/202402280CHI.html,2OT,Chicago Bulls
2024-02-28,Memphis Grizzlies,101,Minnesota Timberwolves,110,/boxscores/202402280MIN.html,,Minnesota Timberwolves
2024-02-28,Sacramento Kings,96,Denver Nuggets,117,/boxscores/202402280DEN.html,,Denver Nuggets
2024-02-28,Los Angeles Lakers,116,Los Angeles Clippers,112,/boxscores/202402280LAC.html,,Los Angeles Lakers
2024-02-29,Milwaukee Bucks,111,Charlotte Hornets,99,/boxscores/202402290CHO.html,,Milwaukee Bucks
2024-02-29,Utah Jazz,107,Orlando Magic,115,/boxscores/202402290ORL.html,,Orlando Magic
2024-02-29,Atlanta Hawks,97,Brooklyn Nets,124,/boxscores/202402290BRK.html,,Brooklyn Nets
2024-02-29,Golden State Warriors,110,New York Knicks,99,/boxscores/202402290NYK.html,,Golden State Warriors
2024-02-29,Oklahoma City Thunder,118,San Antonio Spurs,132,/boxscores/202402290SAS.html,,San Antonio Spurs
2024-02-29,Houston Rockets,105,Phoenix Suns,110,/boxscores/202402290PHO.html,,Phoenix Suns
2024-02-29,Miami Heat,97,Denver Nuggets,103,/boxscores/202402290DEN.html,,Denver Nuggets
2024-02-29,Washington Wizards,131,Los Angeles Lakers,134,/boxscores/202402290LAL.html,OT,Los Angeles Lakers
2024-03-01,Cleveland Cavaliers,110,Detroit Pistons,100,/boxscores/202403010DET.html,,Cleveland Cavaliers
2024-03-01,Charlotte Hornets,114,Philadelphia 76ers,121,/boxscores/202403010PHI.html,,Philadelphia 76ers
2024-03-01,Dallas Mavericks,110,Boston Celtics,138,/boxscores/202403010BOS.html,,Boston Celtics
2024-03-01,Golden State Warriors,120,Toronto Raptors,105,/boxscores/202403010TOR.html,,Golden State Warriors
2024-03-01,Portland Trail Blazers,122,Memphis Grizzlies,92,/boxscores/202403010MEM.html,,Portland Trail Blazers
2024-03-01,Sacramento Kings,124,Minnesota Timberwolves,120,/boxscores/202403010MIN.html,OT,Sacramento Kings
2024-03-01,Indiana Pacers,102,New Orleans Pelicans,129,/boxscores/202403010NOP.html,,New Orleans Pelicans
2024-03-01,Milwaukee Bucks,113,Chicago Bulls,97,/boxscores/202403010CHI.html,,Milwaukee Bucks
2024-03-01,Washington Wizards,115,Los Angeles Clippers,140,/boxscores/202403010LAC.html,,Los Angeles Clippers
2024-03-02,Atlanta Hawks,102,Brooklyn Nets,114,/boxscores/202403020BRK.html,,Brooklyn Nets
2024-03-02,Utah Jazz,120,Miami Heat,126,/boxscores/202403020MIA.html,,Miami Heat
2024-03-02,Portland Trail Blazers,107,Memphis Grizzlies,100,/boxscores/202403020MEM.html,OT,Portland Trail Blazers
2024-03-02,Denver Nuggets,124,Los Angeles Lakers,114,/boxscores/202403020LAL.html,,Denver Nuggets
2024-03-02,Houston Rockets,118,Phoenix Suns,109,/boxscores/202403020PHO.html,,Houston Rockets
2024-03-03,Philadelphia 76ers,120,Dallas Mavericks,116,/boxscores/202403030DAL.html,,Philadelphia 76ers
2024-03-03,Golden State Warriors,88,Boston Celtics,140,/boxscores/202403030BOS.html,,Boston Celtics
2024-03-03,Los Angeles Clippers,89,Minnesota Timberwolves,88,/boxscores/202403030MIN.html,,Los Angeles Clippers
2024-03-03,Detroit Pistons,91,Orlando Magic,113,/boxscores/202403030ORL.html,,Orlando Magic
2024-03-03,Charlotte Hornets,106,Toronto Raptors,111,/boxscores/202403030TOR.html,,Toronto Raptors
2024-03-03,New York Knicks,107,Cleveland Cavaliers,98,/boxscores/202403030CLE.html,,New York Knicks
2024-03-03,Indiana Pacers,105,San Antonio Spurs,117,/boxscores/202403030SAS.html,,San Antonio Spurs
2024-03-03,Oklahoma City Thunder,118,Phoenix Suns,110,/boxscores/202403030PHO.html,,Oklahoma City Thunder
2024-03-04,Memphis Grizzlies,106,Brooklyn Nets,102,/boxscores/202403040BRK.html,,Memphis Grizzlies
2024-03-04,Los Angeles Clippers,106,Milwaukee Bucks,113,/boxscores/202403040MIL.html,,Milwaukee Bucks
2024-03-04,Portland Trail Blazers,114,Minnesota Timberwolves,119,/boxscores/202403040MIN.html,,Minnesota Timberwolves
2024-03-04,Washington Wizards,115,Utah Jazz,127,/boxscores/202403040UTA.html,,Utah Jazz
2024-03-04,Chicago Bulls,113,Sacramento Kings,109,/boxscores/202403040SAC.html,,Chicago Bulls
2024-03-04,Oklahoma City Thunder,104,Los Angeles Lakers,116,/boxscores/202403040LAL.html,,Los Angeles Lakers
2024-03-05,Orlando Magic,101,Charlotte Hornets,89,/boxscores/202403050CHO.html,,Orlando Magic
2024-03-05,Philadelphia 76ers,107,Brooklyn Nets,112,/boxscores/202403050BRK.html,,Brooklyn Nets
2024-03-05,Boston Celtics,104,Cleveland Cavaliers,105,/boxscores/202403050CLE.html,,Cleveland Cavaliers
2024-03-05,Detroit Pistons,110,Miami Heat,118,/boxscores/202403050MIA.html,,Miami Heat
2024-03-05,Atlanta Hawks,116,New York Knicks,100,/boxscores/202403050NYK.html,,Atlanta Hawks
2024-03-05,New Orleans Pelicans,139,Toronto Raptors,98,/boxscores/202403050TOR.html,,New Orleans Pelicans
2024-03-05,San Antonio Spurs,101,Houston Rockets,114,/boxscores/202403050HOU.html,,Houston Rockets
2024-03-05,Indiana Pacers,137,Dallas Mavericks,120,/boxscores/202403050DAL.html,,Indiana Pacers
2024-03-05,Phoenix Suns,117,Denver Nuggets,107,/boxscores/202403050DEN.html,OT,Phoenix Suns
2024-03-06,Orlando Magic,119,Washington Wizards,109,/boxscores/202403060WAS.html,,Orlando Magic
2024-03-06,Cleveland Cavaliers,101,Atlanta Hawks,112,/boxscores/202403060ATL.html,,Atlanta Hawks
2024-03-06,Los Angeles Clippers,122,Houston Rockets,116,/boxscores/202403060HOU.html,,Los Angeles Clippers
2024-03-06,Memphis Grizzlies,115,Philadelphia 76ers,109,/boxscores/202403060PHI.html,,Memphis Grizzlies
2024-03-06,Chicago Bulls,119,Utah Jazz,117,/boxscores/202403060UTA.html,,Chicago Bulls
2024-03-06,Milwaukee Bucks,90,Golden State Warriors,125,/boxscores/202403060GSW.html,,Golden State Warriors
2024-03-06,Oklahoma City Thunder,128,Portland Trail Blazers,120,/boxscores/202403060POR.html,,Oklahoma City Thunder
2024-03-06,Sacramento Kings,130,Los Angeles Lakers,120,/boxscores/202403060LAL.html,,Sacramento Kings
2024-03-07,Brooklyn Nets,112,Detroit Pistons,118,/boxscores/202403070DET.html,,Detroit Pistons
2024-03-07,Minnesota Timberwolves,113,Indiana Pacers,111,/boxscores/202403070IND.html,,Minnesota Timberwolves
2024-03-07,Miami Heat,108,Dallas Mavericks,114,/boxscores/202403070DAL.html,,Dallas Mavericks
2024-03-07,Toronto Raptors,113,Phoenix Suns,120,/boxscores/202403070PHO.html,,Phoenix Suns
2024-03-07,Boston Celtics,109,Denver Nuggets,115,/boxscores/202403070DEN.html,,Denver Nuggets
2024-03-07,Chicago Bulls,125,Golden State Warriors,122,/boxscores/202403070GSW.html,,Chicago Bulls
2024-03-07,San Antonio Spurs,129,Sacramento Kings,131,/boxscores/202403070SAC.html,,Sacramento Kings
2024-03-08,New Orleans Pelicans,103,Philadelphia 76ers,95,/boxscores/202403080PHI.html,,New Orleans Pelicans
2024-03-08,Charlotte Hornets,100,Washington Wizards,112,/boxscores/202403080WAS.html,,Washington Wizards
2024-03-08,Minnesota Timberwolves,104,Cleveland Cavaliers,113,/boxscores/202403080CLE.html,OT,Cleveland Cavaliers
2024-03-08,Orlando Magic,74,New York Knicks,98,/boxscores/202403080NYK.html,,New York Knicks
2024-03-08,Atlanta Hawks,99,Memphis Grizzlies,92,/boxscores/202403080MEM.html,,Atlanta Hawks
2024-03-08,Miami Heat,100,Oklahoma City Thunder,107,/boxscores/202403080OKC.html,,Oklahoma City Thunder
2024-03-08,Milwaukee Bucks,122,Los Angeles Lakers,123,/boxscores/202403080LAL.html,,Los Angeles Lakers
2024-03-08,Houston Rockets,123,Portland Trail Blazers,107,/boxscores/202403080POR.html,,Houston Rockets
2024-03-09,Chicago Bulls,102,Los Angeles Clippers,112,/boxscores/202403090LAC.html,,Los Angeles Clippers
