Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2024-01-06,Boston Celtics,118,Indiana Pacers,101,/boxscores/202401060IND.html,,Boston Celtics
2024-01-06,New York Knicks,121,Washington Wizards,105,/boxscores/202401060WAS.html,,New York Knicks
2024-01-06,Utah Jazz,120,Philadelphia 76ers,109,/boxscores/202401060PHI.html,,Utah Jazz
2024-01-06,Milwaukee Bucks,108,Houston Rockets,112,/boxscores/202401060HOU.html,,Houston Rockets
2024-01-07,San Antonio Spurs,115,Cleveland Cavaliers,117,/boxscores/202401070CLE.html,,Cleveland Cavaliers
2024-01-07,Portland Trail Blazers,134,Brooklyn Nets,127,/boxscores/202401070BRK.html,OT,Portland Trail Blazers
2024-01-07,Atlanta Hawks,110,Orlando Magic,117,/boxscores/202401070ORL.html,OT,Orlando Magic
2024-01-07,New Orleans Pelicans,133,Sacramento Kings,100,/boxscores/202401070SAC.html,,New Orleans Pelicans
2024-01-07,Minnesota Timberwolves,108,Dallas Mavericks,115,/boxscores/202401070DAL.html,,Dallas Mavericks
2024-01-07,Detroit Pistons,114,Denver Nuggets,131,/boxscores/202401070DEN.html,,Denver Nuggets
2024-01-07,Memphis Grizzlies,121,Phoenix Suns,115,/boxscores/202401070PHO.html,,Memphis Grizzlies
2024-01-07,Toronto Raptors,133,Golden State Warriors,118,/boxscores/202401070GSW.html,,Toronto Raptors
2024-01-07,Los Angeles Clippers,103,Los Angeles Lakers,106,/boxscores/202401070LAL.html,,Los Angeles Lakers
2024-01-08,Chicago Bulls,119,Charlotte Hornets,112,/boxscores/202401080CHO.html,OT,Chicago Bulls
2024-01-08,Boston Celtics,131,Indiana Pacers,133,/boxscores/202401080IND.html,,Indiana Pacers
2024-01-08,Oklahoma City Thunder,136,Washington Wizards,128,/boxscores/202401080WAS.html,,Oklahoma City Thunder
2024-01-08,Houston Rockets,113,Miami Heat,120,/boxscores/202401080MIA.html,,Miami Heat
2024-01-08,Utah Jazz,132,Milwaukee Bucks,116,/boxscores/202401080MIL.html,,Utah Jazz
2024-01-08,Phoenix Suns,111,Los Angeles Clippers,138,/boxscores/202401080LAC.html,,Los Angeles Clippers
2024-01-09,Sacramento Kings,131,Detroit Pistons,110,/boxscores/202401090DET.html,,Sacramento Kings
2024-01-09,Minnesota Timberwolves,113,Orlando Magic,92,/boxscores/202401090ORL.html,,Minnesota Timberwolves
2024-01-09,Portland Trail Blazers,84,New York Knicks,112,/boxscores/202401090NYK.html,,New York Knicks
2024-01-09,Memphis Grizzlies,120,Dallas Mavericks,103,/boxscores/202401090DAL.html,,Memphis Grizzlies
2024-01-09,Toronto Raptors,131,Los Angeles Lakers,132,/boxscores/202401090LAL.html,,Los Angeles Lakers
2024-01-10,Minnesota Timberwolves,120,Boston Celtics,127,/boxscores/202401100BOS.html,OT,Boston Celtics
2024-01-10,Sacramento Kings,123,Charlotte Hornets,98,/boxscores/202401100CHO.html,,Sacramento Kings
2024-01-10,San Antonio Spurs,130,Detroit Pistons,108,/boxscores/202401100DET.html,,San Antonio Spurs
2024-01-10,Washington Wizards,104,Indiana Pacers,112,/boxscores/202401100IND.html,,Indiana Pacers
2024-01-10,Philadelphia 76ers,132,Atlanta Hawks,139,/boxscores/202401100ATL.html,OT,Atlanta Hawks
2024-01-10,Oklahoma City Thunder,128,Miami Heat,120,/boxscores/202401100MIA.html,,Oklahoma City Thunder
2024-01-10,Houston Rockets,119,Chicago Bulls,124,/boxscores/202401100CHI.html,OT,Chicago Bulls
2024-01-10,New Orleans Pelicans,141,Golden State Warriors,105,/boxscores/202401100GSW.html,,New Orleans Pelicans
2024-01-10,Denver Nuggets,111,Utah Jazz,124,/boxscores/202401100UTA.html,,Utah Jazz
2024-01-10,Toronto Raptors,120,Los Angeles Clippers,126,/boxscores/202401100LAC.html,,Los Angeles Clippers
2024-01-11,Brooklyn Nets,102,Cleveland Cavaliers,111,/boxscores/202401110CLE.html,,Cleveland Cavaliers
2024-01-11,Boston Celtics,102,Milwaukee Bucks,135,/boxscores/202401110MIL.html,,Milwaukee Bucks
2024-01-11,Portland Trail Blazers,77,Oklahoma City Thunder,139,/boxscores/202401110OKC.html,,Oklahoma City Thunder
2024-01-11,New York Knicks,124,Dallas Mavericks,128,/boxscores/202401110DAL.html,,Dallas Mavericks
2024-01-11,Phoenix Suns,127,Los Angeles Lakers,109,/boxscores/202401110LAL.html,,Phoenix Suns
2024-01-12,Indiana Pacers,126,Atlanta Hawks,108,/boxscores/202401120ATL.html,,Indiana Pacers
2024-01-12,Houston Rockets,112,Detroit Pistons,110,/boxscores/202401120DET.html,,Houston Rockets
2024-01-12,Sacramento Kings,93,Philadelphia 76ers,112,/boxscores/202401120PHI.html,,Philadelphia 76ers
2024-01-12,Golden State Warriors,140,Chicago Bulls,131,/boxscores/202401120CHI.html,,Golden State Warriors
2024-01-12,Los Angeles Clippers,128,Memphis Grizzlies,119,/boxscores/202401120MEM.html,,Los Angeles Clippers
2024-01-12,Orlando Magic,96,Miami Heat,99,/boxscores/202401120MIA.html,,Miami Heat
2024-01-12,Portland Trail Blazers,93,Minnesota Timberwolves,116,/boxscores/202401120MIN.html,,Minnesota Timberwolves
2024-01-12,Charlotte Hornets,99,San Antonio Spurs,135,/boxscores/202401120SAS.html,,San Antonio Spurs
2024-01-12,Toronto Raptors,113,Utah Jazz,145,/boxscores/202401120UTA.html,,Utah Jazz
